"SYMBOL","logFC","AveExpr","t","p_value","adj_p_value","B","threshold"
"TOP2A",-0.0158804992210531,6.18654791627119,-0.0960113332337915,0.923825586511242,0.997496010476986,-5.46071208297247,"Not_significant"
"PPP6R2",-0.00508017318420784,9.63560514997458,-0.0958171120262849,0.923979200506855,0.997579265993946,-5.46072768666679,"Not_significant"
"LOC729815",0.00483703294473514,4.34625731447458,0.0956024744670728,0.924148965640974,0.997679943947066,-5.46074489386647,"Not_significant"
"STXBP3",0.0130269669171028,9.65339557713559,0.0952371163985465,0.924437949583581,0.997774674683444,-5.46077409540584,"Not_significant"
"LIM2",-0.0122390992999959,6.24197656155932,-0.095040472140491,0.924593491733175,0.997774674683444,-5.46078976608873,"Not_significant"
"CYP2C18",0.00763941670329116,2.76271134174576,0.0949800118388736,0.924641315362436,0.997774674683444,-5.46079457769351,"Not_significant"
"A4GNT",0.00543108797500169,2.95503730354237,0.0948492266109424,0.924744766417074,0.997774674683444,-5.46080497548654,"Not_significant"
"NBPF14",-0.00813032791447021,10.7045349190678,-0.0945803579409663,0.924957445504636,0.997774674683444,-5.46082630631345,"Not_significant"
"ZNF443",-0.00465255465833359,5.40333091932203,-0.0945005641979192,0.925020564591759,0.997774674683444,-5.46083262514112,"Not_significant"
"HAO2",-0.00606181690526242,5.25074023672881,-0.0941635958759027,0.925287121307922,0.997774674683444,-5.4608592507024,"Not_significant"
"PPP4C",0.0154785258381569,9.96622055855932,0.0940412452925992,0.925383908112023,0.997774674683444,-5.46086889470873,"Not_significant"
"RRM1",0.00809264749013483,7.77579000961864,0.0939447442984331,0.925460247106467,0.997774674683444,-5.46087649233792,"Not_significant"
"CFTR",0.00452057350526536,3.25108208824153,0.0939139145116284,0.925484635759164,0.997774674683444,-5.46087891795735,"Not_significant"
"TRAPPC9",-0.00656292038772222,7.42153745420339,-0.0938816921150939,0.925510126146351,0.997774674683444,-5.46088145229362,"Not_significant"
"GSTO1",0.00866898527631399,11.8629669076271,0.0937493391614305,0.925614828306135,0.997774674683444,-5.46089185291783,"Not_significant"
"CDX4",-0.00633427186841917,5.05015021076271,-0.0937080907331859,0.925647459502727,0.997774674683444,-5.46089509132388,"Not_significant"
"GABRD",-0.00699509181973745,4.42686168576271,-0.0936924496695055,0.925659833016778,0.997774674683444,-5.46089631892819,"Not_significant"
"UPF3B",-0.0120845890355277,8.58170283949153,-0.0933302880025804,0.925946341214987,0.997774674683444,-5.46092468625863,"Not_significant"
"CAPN9",0.00395174148684285,3.8493083205339,0.0932822262130032,0.925984363916367,0.997774674683444,-5.46092844257878,"Not_significant"
"FUT1",0.00984773337105427,5.92746616098305,0.0932338568547942,0.926022630116715,0.997774674683444,-5.46093222098444,"Not_significant"
"SUSD6",-0.00887677260525699,12.5170711611864,-0.0932141137582625,0.92603824942103,0.997774674683444,-5.46093376266699,"Not_significant"
"ZNF142",0.00865361961447508,7.9251115389661,0.0930373339349804,0.926178106081223,0.997774674683444,-5.46094755235788,"Not_significant"
"CNTN2",0.00650213511052566,4.28703866398305,0.0928231509232326,0.926347556834666,0.997774674683444,-5.46096422462152,"Not_significant"
"CFAP70",-0.0076840979315751,5.19690824971186,-0.0928198779561834,0.926350146267042,0.997774674683444,-5.46096447909523,"Not_significant"
"TCAF1",0.00904475851546316,6.64238197748729,0.0925570019437667,0.926558125199757,0.997774674683444,-5.46098488845511,"Not_significant"
"LPXN",-0.00483430564473863,11.6027827825424,-0.0924704026931624,0.926626640830964,0.997774674683444,-5.46099159924,"Not_significant"
"TCEAL2",0.010502243064475,5.324598393,0.0924156763268123,0.926669939547857,0.997774674683444,-5.46099583688002,"Not_significant"
"COL3A1",-0.00515143371008842,3.37868337593785,-0.0924068210095577,0.926676945768904,0.997774674683444,-5.46099652234023,"Not_significant"
"XRCC5",0.00607541439473813,11.8641257171186,0.0923520616723947,0.92672027083059,0.997774674683444,-5.46100075961712,"Not_significant"
"PRELID3A",-0.00842276451710378,3.92392920301695,-0.0923086308240253,0.926754633059066,0.997774674683444,-5.46100411851023,"Not_significant"
"AHCYL1",0.00463142278915107,8.89846021774576,0.0923047923484259,0.926757670044825,0.997774674683444,-5.46100441529766,"Not_significant"
"ASMTL",0.0113360291004394,8.83127337128249,0.0921110644964776,0.926910948126257,0.997774674683444,-5.46101937813389,"Not_significant"
"MINAR1",-0.0151780592578934,6.33728162149153,-0.0916821681070546,0.927250302169245,0.997774674683444,-5.46105239272964,"Not_significant"
"CSTB",-0.00796975309210524,12.0209862644068,-0.0915686215568231,0.927340145442953,0.997774674683444,-5.46106110726612,"Not_significant"
"PRC1",0.00978084623421349,6.27029496850848,0.0913454303339732,0.927516747410385,0.997774674683444,-5.46107820540863,"Not_significant"
"DERA",-0.00604549768815765,10.0906795107627,-0.0912115334385196,0.927622696232688,0.997774674683444,-5.46108844290909,"Not_significant"
"C3orf36",0.00555488917631575,3.5150262890339,0.0911654369184126,0.927659171408269,0.997774674683444,-5.46109196388699,"Not_significant"
"KANK2",-0.010370939334865,7.27939506813559,-0.091152950013837,0.927669052051579,0.997774674683444,-5.46109291736453,"Not_significant"
